ticker,company,quarter,earnings_date,quarters_behind,n_history,density_qa,density_z,density_pctile,change_vs_prev_call
DAY,Dayforce,2024Q4,2024-10-30,1,23,0.9792552506120344,0.733035184710891,69.56521739130434,0.2670989074520477
NCLH,Norwegian Cruise Line Holdings,2024Q4,2024-10-31,1,42,1.1186663742048695,0.7304175295115178,71.42857142857143,0.15769363445197682
WFC,Wells Fargo,2025Q1,2025-01-15,0,43,1.1877643996095022,0.7247210618865542,81.3953488372093,0.11249558240520097
CHTR,Charter Communications,2025Q1,2025-01-31,0,43,0.8575689783743475,0.7207691704805445,74.4186046511628,0.03481812879466584
DVA,DaVita,2024Q4,2024-10-29,1,35,1.3003901170351104,0.7117355631408445,71.42857142857143,-0.48191414776438046
ORCL,Oracle Corporation,2024Q3,2024-09-09,2,43,0.6756756756756757,0.701194785593725,79.06976744186046,-0.095532550545404
IBM,IBM,2025Q1,2025-01-29,0,43,0.8542298153761366,0.6944478562363873,76.74418604651163,-0.039007105083242455
ATO,Atmos Energy,2024Q4,2024-11-07,1,39,1.1688835147118097,0.6824157308119778,84.61538461538461,-0.311379643182927
ARE,Alexandria Real Estate Equities,2025Q1,2025-01-28,0,40,1.2526096033402923,0.6760133916345,77.5,0.15055979068876035
KDP,Keurig Dr Pepper,2024Q4,2024-10-24,1,24,0.815814245371823,0.6753410785278849,70.83333333333334,0.17234427397048835
CPAY,Corpay,2024Q4,2024-11-07,1,41,0.9887760555852485,0.6714895096533673,78.04878048780488,0.24759609709132624
ANET,Arista Networks,2024Q4,2024-11-07,1,41,1.0185892538833716,0.6427788069660499,73.17073170731707,-0.015893504737318098
CAG,Conagra Brands,2024Q2,2024-04-04,3,41,0.9102730819245773,0.6425104011483109,82.92682926829268,0.3003103574244079
SYF,Synchrony Financial,2025Q1,2025-01-28,0,38,1.0612926305747676,0.62709264633051,68.42105263157895,0.07545536314905255
GDDY,GoDaddy,2024Q4,2024-10-30,1,38,0.8538899430740038,0.6270865705930254,73.68421052631578,0.11601870160563998
