ticker,n_quarters,pearson_r,pearson_p,spearman_rho,spearman_p,mean_growth,median_growth
KHC,34,-0.00478030065279481,0.9785943574142941,-0.10374331550802139,0.5593046117249845,0.6181690853705352,1.1086001915306178
BEN,35,-0.006155048972857286,0.9720067105001077,-0.013445378151260503,0.9388952550807832,-1.5068223718204845,-0.9383378016085828
NTAP,42,-0.007105347539282306,0.9643792977868095,-0.0451341058261081,0.7765485202376003,2.3640235286980165,3.476905186349488
ROK,43,-0.008829922723824641,0.9551852516814741,-0.10072485653881001,0.5204371185213793,1.2180235751492008,1.9107282693813608
CZR,39,-0.010416634945918879,0.949816670120715,-0.042510121457489884,0.7972140276929861,79.81051325464561,11.372549019607844
WBA,26,-0.010696869467527388,0.9586383743555632,-0.18564102564102564,0.36389896660007276,-0.4141205550393425,1.8301162089799057
CSX,43,-0.010957069982766106,0.944404488210702,0.00347327091513138,0.9823644616714318,2.716819216895917,2.5073746312684224
VZ,43,-0.011416938788578768,0.9420750135205441,-0.16263968589549985,0.297397255267029,1.0299154804705182,0.26915113871635404
NRG,42,-0.01160597233949192,0.9418476661613326,0.025038489587553687,0.8749331648047315,38.42810116420102,5.3812702651154
NEE,43,-0.011774877731582457,0.9402621957505652,0.019631531259438235,0.900562244586863,2.3439714671224934,2.2222222222222103
DG,39,-0.011952041907269362,0.9424312004639891,-0.03502024291497976,0.8323796395971691,2.48261250552269,2.5878003696857634
IEX,42,-0.012802733509766833,0.9358630903391051,0.05793695810712261,0.715522379370489,2.2732963811204123,2.118060953235191
MS,33,-0.013122936464978299,0.9422185041463568,-0.08723262032085562,0.6292994586228584,3.7241274605500894,5.455893254262421
KEYS,39,-0.013903369985278214,0.9330520291791525,-0.1076923076923077,0.5140407107422361,2.3633495551084414,3.3911671924290197
PM,42,-0.014963496396550134,0.9250669294206346,-0.007859978932015234,0.9605989787397189,0.45233959037060856,0.6167710699847639
WM,43,-0.017079177669849732,0.9134378201290922,-0.0637269707037149,0.6847536711562551,2.8861479830409262,2.6315789473684235
HCA,41,-0.018217047938542726,0.9099925209381111,-0.10296167247386762,0.521786487325768,4.641598970300921,3.301467899493276
PEP,40,-0.019863061198285487,0.9031735657563783,-0.0031894934333958733,0.9844163138331148,1.439995767065311,1.7879604437911996
